step,amount,type,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
5,1223.27,CASH_OUT,2671.68,1448.41,1943.8,3167.07,0
350,1556.82,PAYMENT,2763.14,1206.32,7260.91,7260.91,0
269,6983.48,TRANSFER,11973.84,4990.36,2053.38,9036.86,0
120,632.7,PAYMENT,871.82,239.12,784.56,784.56,0
741,408.5,CASH_OUT,270.32,0,4283.14,4691.64,1
641,381.61,DEBIT,310.2,0,2502.43,2502.43,0
638,198.15,CASH_OUT,171.54,0,9346.14,9544.29,0
272,1455.22,PAYMENT,2640.09,1184.87,4356.73,4356.73,0
247,98.78,TRANSFER,154.69,55.91,7932.32,8031.1,0
86,30,CASH_IN,5803.63,5833.63,32.76,2.76,0
94,3869.41,CASH_OUT,7380.19,3510.78,4741.74,8611.15,0
218,2883.47,TRANSFER,5210.18,2326.71,17315.22,20198.69,0
254,1138.8,DEBIT,1477.03,338.23,6158.5,6158.5,0
100,93.72,DEBIT,117.08,23.36,6258.6,6258.6,0
442,1391.46,DEBIT,2196.77,805.31,6839.64,6839.64,0
16,147.36,TRANSFER,242.03,94.67,1325.57,1472.93,0
160,5635.51,CASH_OUT,9303.94,3668.43,3881.7,9517.21,0
380,276.08,TRANSFER,500.04,223.96,41031.97,41308.05,0
268,976.86,TRANSFER,1915.81,938.95,45267.53,46244.39,0
556,641.3,CASH_IN,10729.46,11370.76,1125.17,483.87,0
253,199.41,CASH_IN,34150.34,34349.75,227.8,28.39,0
605,3728.05,CASH_OUT,2037.54,0,8144.68,11872.73,0
617,1371.51,CASH_IN,34644.52,36016.03,2327,955.49,0
75,4199.83,DEBIT,8274.26,4074.43,8034.81,8034.81,0
676,391.67,CASH_IN,37530.74,37922.41,1023.7,632.03,0
689,2631.91,DEBIT,1988.09,0,2500.16,2500.16,0
96,834.47,CASH_OUT,1970.61,1136.14,8584.13,9418.6,1
369,2278.9,TRANSFER,3965.08,1686.18,11911.81,14190.71,0
273,1529.55,TRANSFER,2289.07,759.52,19480.9,21010.45,0
397,4518.58,CASH_IN,19460.08,23978.66,4616.52,97.94,0
233,3757.51,DEBIT,4545.87,788.36,9568.01,9568.01,0
735,6016.9,PAYMENT,9909.09,3892.19,6318.37,6318.37,0
69,695.05,PAYMENT,804.4,109.35,6725.18,6725.18,0
484,5845.76,PAYMENT,12057.42,6211.66,1134.65,1134.65,0
693,1365.1,TRANSFER,1443.67,78.57,27476.44,28841.54,0
133,2672.47,TRANSFER,4131.41,1458.94,35291.57,37964.04,0
588,2330.7,DEBIT,5066.77,2736.07,8668.69,8668.69,0
230,176.71,CASH_IN,35048.46,35225.17,202.43,25.72,0
634,318.07,PAYMENT,485.58,167.51,2332.28,2332.28,0
648,938.68,DEBIT,1165.17,226.49,8128,8128,0
511,4766.29,DEBIT,8025.37,3259.08,3502.18,3502.18,0
252,175.39,CASH_IN,38857.35,39032.74,371.27,195.88,0
91,572.96,DEBIT,664.92,91.96,4344.52,4344.52,0
173,23.84,CASH_IN,23433.03,23456.87,26.52,2.68,0
476,2916.11,CASH_OUT,6256.75,3340.64,7442.12,10358.23,0
387,1752.11,CASH_IN,48108.63,49860.74,3065.74,1313.63,0
369,174.06,PAYMENT,270.97,96.91,4363.36,4363.36,0
58,25.46,PAYMENT,62.12,36.66,431.6,431.6,0
149,89.74,CASH_IN,46232.17,46321.91,254.7,164.96,0
676,1615.22,CASH_OUT,3938.88,2323.66,5230.98,6846.2,0
233,489.76,CASH_OUT,533.34,43.58,9958.31,10448.07,0
566,1756.65,PAYMENT,4044.36,2287.71,454.46,454.46,0
12,6374.9,CASH_OUT,3925.2,0,3945.22,10320.12,0
408,1936.87,DEBIT,2042.94,106.07,1881.21,1881.21,0
90,983.92,TRANSFER,1209.63,225.71,13296.9,14280.82,0
41,603.07,DEBIT,848.21,245.14,323.16,323.16,0
201,741.76,PAYMENT,1578.16,836.4,6847.31,6847.31,0
558,159.52,CASH_OUT,379.83,220.31,4166.39,4325.91,0
709,1901.81,CASH_IN,20912.15,22813.96,5449.55,3547.74,0
242,1605.09,TRANSFER,1869.66,264.57,20562.76,22167.85,0
374,3328.3,CASH_IN,49363.81,52692.11,4329.57,1001.27,0
282,959.95,PAYMENT,2342.11,1382.16,8421.19,8421.19,0
461,132.24,CASH_OUT,75.86,0,1338.52,1470.76,0
405,117.05,CASH_IN,43236.12,43353.17,307.35,190.3,0
645,11390.75,CASH_IN,27771.59,39162.34,28909.44,17518.69,0
677,2831.06,TRANSFER,3900.78,1069.72,12054.24,14885.3,0
457,277.59,TRANSFER,542.43,264.84,30308.73,30586.32,0
446,4212.09,CASH_OUT,8483.14,4271.05,468.96,4681.05,0
95,242.08,TRANSFER,404.65,162.57,26015.39,26257.47,0
118,3561.11,CASH_IN,15388.86,18949.97,9375.59,5814.48,0
236,1647.23,CASH_IN,43832.68,45479.91,2976.49,1329.26,1
624,1309.03,PAYMENT,1755.5,446.47,7846.68,7846.68,0
578,3270.97,CASH_IN,45157.55,48428.52,7309.07,4038.1,0
738,864.37,CASH_OUT,1452,587.63,3922.44,4786.81,0
435,4691.12,DEBIT,5612.98,921.86,5139.89,5139.89,0
335,1011.16,PAYMENT,1763.64,752.48,8623.64,8623.64,0
133,3184.9,PAYMENT,4518.4,1333.5,8420.91,8420.91,0
508,138.06,CASH_OUT,81.69,0,6208.06,6346.12,0
450,798.23,CASH_OUT,1410.31,612.08,2401.46,3199.69,0
111,276.95,TRANSFER,312.41,35.46,7595.13,7872.08,0
374,2393.46,PAYMENT,2058.7,0,6965.01,6965.01,0
281,4542.95,TRANSFER,6696.13,2153.18,33377.89,37920.84,0
61,428.1,CASH_IN,2043.43,2471.53,572.74,144.64,0
604,855.25,PAYMENT,482.03,0,5487.15,5487.15,0
645,1236.26,PAYMENT,1128.29,0,3642.7,3642.7,0
78,802.25,DEBIT,917.1,114.85,922.91,922.91,0
47,1978.19,PAYMENT,1312.56,0,8735.79,8735.79,0
48,127.05,CASH_IN,13843.88,13970.93,331.91,204.86,0
625,1820.02,TRANSFER,3615.03,1795.01,26829.53,28649.55,0
56,1326.33,TRANSFER,2146.34,820.01,18445.68,19772.01,0
216,2550.62,DEBIT,1593.33,0,1477.39,1477.39,0
7,2325.16,CASH_IN,42222.03,44547.19,5811.12,3485.96,0
508,227.72,TRANSFER,329.6,101.88,26630.86,26858.58,0
15,222.57,CASH_OUT,439.53,216.96,1822.84,2045.41,0
39,778.45,CASH_IN,10572.4,11350.85,1288.33,509.88,0
537,4425.16,CASH_IN,29679.62,34104.78,10435.43,6010.27,0
67,2093.93,DEBIT,3055.39,961.46,5841.99,5841.99,0
470,1768.85,TRANSFER,3087.42,1318.57,21582.98,23351.83,0
595,953.12,CASH_IN,16872.34,17825.46,2668.06,1714.94,0
320,1692.56,TRANSFER,2295.28,602.72,49325.76,51018.32,0
741,5427.88,CASH_OUT,2795.73,0,2253.33,7681.21,0
582,565.61,DEBIT,464.57,0,1865.67,1865.67,0
350,381.8,CASH_OUT,875.67,493.87,802.34,1184.14,0
243,37.82,DEBIT,71.63,33.81,9972.56,9972.56,0
6,1015.52,CASH_IN,48473.52,49489.04,2773.4,1757.88,0
646,7384.14,DEBIT,10939.59,3555.45,7228.96,7228.96,0
574,5301.77,PAYMENT,8554.54,3252.77,5716.13,5716.13,0
435,3648.52,TRANSFER,4396.75,748.23,48399.7,52048.22,0
724,1417.97,TRANSFER,1761.7,343.73,5741.84,7159.81,0
90,2921.14,PAYMENT,1970.54,0,5061.04,5061.04,0
511,1313.24,CASH_OUT,2055.46,742.22,518.24,1831.48,0
690,1212.25,PAYMENT,1936.21,723.96,5489.22,5489.22,0
13,2308.65,CASH_IN,4393.41,6702.06,2949.65,641,0
329,2857.13,CASH_IN,29781.94,32639.07,5551.84,2694.71,0
419,859.09,TRANSFER,1657.64,798.55,41530.97,42390.06,0
236,1051.25,CASH_IN,46646.9,47698.15,3134.68,2083.43,0
588,954.58,TRANSFER,1838.95,884.37,36079.83,37034.41,0
572,3689.15,PAYMENT,2875.86,0,7952.67,7952.67,0
270,3215.25,PAYMENT,6913.64,3698.39,1864.05,1864.05,1
379,2009.93,PAYMENT,4654.46,2644.53,3161.97,3161.97,0
42,997.63,TRANSFER,1812.29,814.66,21956.75,22954.38,0
526,4599.53,PAYMENT,8040.91,3441.38,5397.81,5397.81,0
575,1398.21,PAYMENT,1348.47,0,8995.75,8995.75,0
503,1518.96,CASH_OUT,961.86,0,2290.25,3809.21,0
39,249.63,PAYMENT,594.04,344.41,6277.08,6277.08,0
554,300.95,CASH_IN,39701.26,40002.21,674.17,373.22,0
478,4487.61,TRANSFER,8026.53,3538.92,7583.74,12071.35,0
97,2456.03,CASH_OUT,5052.41,2596.38,1431.28,3887.31,0
196,1688.43,DEBIT,3418.93,1730.5,8767.66,8767.66,0
118,3444.62,TRANSFER,3825.7,381.08,42322.61,45767.23,0
216,1853.47,CASH_IN,25114.42,26967.89,3854.7,2001.23,0
157,521.79,TRANSFER,898.65,376.86,36001.83,36523.62,0
95,1825.81,CASH_IN,28275.42,30101.23,4441.02,2615.21,0
283,849.37,CASH_IN,9079.89,9929.26,2392.59,1543.22,0
550,516.86,DEBIT,696.31,179.45,2879.3,2879.3,0
363,333.94,TRANSFER,529.71,195.77,25294.43,25628.37,0
623,2590.95,DEBIT,4368.15,1777.2,1022.13,1022.13,0
324,3123.1,DEBIT,1705.35,0,6513.67,6513.67,0
604,939.2,TRANSFER,1003.93,64.73,3866.05,4805.25,0
462,5448.35,PAYMENT,12809.82,7361.47,4508.39,4508.39,0
613,8379.35,PAYMENT,18248.52,9869.17,1246.63,1246.63,0
1,4079.85,DEBIT,6273.49,2193.64,5912.75,5912.75,0
661,954.83,CASH_OUT,1898.68,943.85,2055.8,3010.63,0
313,10.29,DEBIT,12.01,1.72,3981.69,3981.69,0
537,3984.13,DEBIT,9346.45,5362.32,4657,4657,0
475,2676.02,DEBIT,3758.3,1082.28,2246.05,2246.05,0
179,571.64,PAYMENT,946.22,374.58,1655.13,1655.13,0
501,4927.59,PAYMENT,6035.25,1107.66,5805.88,5805.88,0
662,498.17,PAYMENT,460.99,0,5151.74,5151.74,0
84,1229.63,DEBIT,1985.37,755.74,8606.32,8606.32,1
63,11537.16,CASH_OUT,17356.39,5819.23,5953.85,17491.01,0
141,1013.73,PAYMENT,1372.16,358.43,7997.82,7997.82,0
318,460.18,TRANSFER,547.93,87.75,1827.48,2287.66,0
286,3623.68,TRANSFER,5752.42,2128.74,14702.23,18325.91,0
371,1208.67,TRANSFER,1842.48,633.81,22038.14,23246.81,0
114,1375.38,CASH_IN,38267.81,39643.19,1658.66,283.28,0
264,3958.9,DEBIT,9470.6,5511.7,3733.09,3733.09,0
458,4555.43,TRANSFER,6954.22,2398.79,40037.49,44592.92,0
55,340.57,DEBIT,657.96,317.39,6589.24,6589.24,0
313,502.99,TRANSFER,619.22,116.23,33594.64,34097.63,0
328,220.87,CASH_OUT,463.79,242.92,1785.45,2006.32,0
609,1628.11,DEBIT,3161.18,1533.07,8053.15,8053.15,0
88,2563.19,TRANSFER,4756.5,2193.31,41510.99,44074.18,0
452,5780.49,PAYMENT,4521.29,0,4063.92,4063.92,0
7,2007.1,DEBIT,3957.62,1950.52,8481.28,8481.28,0
624,401.41,CASH_IN,29152.08,29553.49,739.74,338.33,0
514,4830.81,PAYMENT,8451.61,3620.8,3358.66,3358.66,0
386,903.16,PAYMENT,513.41,0,8306.55,8306.55,0
256,1607.13,CASH_IN,21806.33,23413.46,2553.62,946.49,0
500,7342.86,PAYMENT,15122.75,7779.89,1142.38,1142.38,0
158,1337.64,PAYMENT,3062,1724.36,7998.55,7998.55,0
721,1327.32,TRANSFER,2007.52,680.2,37084.35,38411.67,0
237,1031.17,TRANSFER,1255.99,224.82,32252.71,33283.88,0
494,8322.25,DEBIT,12910.98,4588.73,1716.79,1716.79,0
727,2299.87,DEBIT,4933.61,2633.74,5296.62,5296.62,0
42,1719.48,DEBIT,1802.2,82.72,5541.78,5541.78,0
153,1377.18,TRANSFER,2369.03,991.85,5328.94,6706.12,0
342,295.42,DEBIT,679.48,384.06,8738.9,8738.9,0
168,578.31,PAYMENT,1021.41,443.1,4942.74,4942.74,0
685,3642.64,TRANSFER,5115.66,1473.02,38545.57,42188.21,0
558,97.21,DEBIT,80.93,0,7380.34,7380.34,0
693,1849.4,PAYMENT,1832.2,0,3892.96,3892.96,1
296,1150.64,DEBIT,2682.17,1531.53,7215.33,7215.33,0
227,5964.93,CASH_OUT,7714.44,1749.51,9540.87,15505.8,0
406,2638.81,DEBIT,2453.78,0,311.83,311.83,0
148,354.51,CASH_OUT,773.92,419.41,8464.08,8818.59,0
507,1817.86,DEBIT,2124.15,306.29,7709.12,7709.12,0
501,845.36,CASH_IN,17577.01,18422.37,1543.28,697.92,0
61,2333.09,DEBIT,3195.53,862.44,2464.02,2464.02,0
131,162.91,TRANSFER,163.29,0.38,48384.97,48547.88,0
102,1785.32,TRANSFER,2429.77,644.45,4579.1,6364.42,0
17,6001.98,CASH_OUT,8354.83,2352.85,1851.33,7853.31,0
318,6349.32,TRANSFER,11164.6,4815.28,31947.47,38296.79,0
81,2151.48,PAYMENT,4054.58,1903.1,8491.96,8491.96,0
537,4674.6,CASH_IN,32333.25,37007.85,11155.23,6480.63,0
489,5767.93,CASH_IN,1971.34,7739.27,13907.35,8139.42,0
711,14688.87,PAYMENT,23672.78,8983.91,4732.1,4732.1,0
391,70.07,CASH_OUT,132.77,62.7,2973.49,3043.56,0
688,245.97,PAYMENT,330.47,84.5,7953.42,7953.42,0
223,3962.62,PAYMENT,8674.57,4711.95,3191,3191,0
490,2069.72,CASH_IN,32508.37,34578.09,3579.36,1509.64,0
620,257.96,DEBIT,168.68,0,6962.89,6962.89,0
183,1037.66,CASH_IN,28621.39,29659.05,2706.17,1668.51,0
516,3129.19,CASH_IN,15937.63,19066.82,7046.26,3917.07,0
16,1114.1,TRANSFER,2090.79,976.69,20875.3,21989.4,0
739,4082.96,PAYMENT,2215.16,0,8747.02,8747.02,0
141,969.9,CASH_IN,46629.5,47599.4,1105.74,135.84,0
29,2916.05,PAYMENT,3802.13,886.08,4798.76,4798.76,0
697,1739.61,TRANSFER,2212.24,472.63,19914.37,21653.98,0
359,1479.46,PAYMENT,2906.46,1427,33.46,33.46,0
429,876.84,CASH_IN,14361.95,15238.79,1396.47,519.63,0
293,87.01,PAYMENT,46.62,0,9877.22,9877.22,0
585,232.87,TRANSFER,324.07,91.2,6221.88,6454.75,0
187,5990.91,DEBIT,12417.3,6426.39,894.11,894.11,0
710,8072.83,PAYMENT,18312.39,10239.56,6007.98,6007.98,0
62,1901.79,CASH_IN,8351.7,10253.49,5671.78,3769.99,0
571,1027.93,TRANSFER,1889.16,861.23,11528.46,12556.39,0
243,1438.7,CASH_IN,11533.49,12972.19,1946.64,507.94,0
218,75.85,CASH_IN,47863.51,47939.36,201.19,125.34,0
517,120.17,PAYMENT,293,172.83,8837.86,8837.86,1
99,1820,CASH_IN,26251.58,28071.58,2767.25,947.25,0
419,2840.61,PAYMENT,5374.55,2533.94,1538.96,1538.96,0
160,1245.93,DEBIT,2175.24,929.31,7478.72,7478.72,0
89,1798.59,CASH_IN,29004.31,30802.9,2127.68,329.09,0
617,993.43,CASH_IN,13647.97,14641.4,1940.52,947.09,0
195,6232.35,CASH_IN,43106.38,49338.73,16322.73,10090.38,0
40,5365.46,CASH_OUT,10572.24,5206.78,2813.91,8179.37,0
124,933.62,CASH_OUT,951.83,18.21,7234.2,8167.82,0
602,1522.15,TRANSFER,2986.64,1464.49,5473.44,6995.59,0
593,127.98,CASH_OUT,289.98,162,5160.79,5288.77,0
115,3483.3,TRANSFER,4694.82,1211.52,33900.81,37384.11,0
289,4218.82,CASH_OUT,8837.8,4618.98,6584.52,10803.34,0
353,343.39,DEBIT,281.85,0,3340.09,3340.09,0
557,2392.16,TRANSFER,4019.17,1627.01,30930.57,33322.73,0
422,420.52,CASH_OUT,951.75,531.23,9613.15,10033.67,0
31,3496.29,DEBIT,2649.28,0,3351.19,3351.19,0
670,4788.24,CASH_OUT,2404.85,0,5561.82,10350.06,0
589,1417.39,PAYMENT,726.8,0,2870.38,2870.38,0
46,791.34,PAYMENT,1281.72,490.38,1158.44,1158.44,0
700,19.23,DEBIT,41.1,21.87,1284.49,1284.49,0
467,2863.82,CASH_IN,27063.33,29927.15,8379.49,5515.67,0
412,2003.73,CASH_IN,46601.41,48605.14,2414.53,410.8,0
196,382.72,PAYMENT,781.4,398.68,9472.98,9472.98,0
192,2464.18,PAYMENT,1564.02,0,5821.7,5821.7,0
705,120.33,CASH_IN,3734.72,3855.05,325.47,205.14,0
270,7261.39,TRANSFER,14296.79,7035.4,37482.59,44743.98,0
227,1805.76,CASH_IN,19180.61,20986.37,2042.77,237.01,1
33,782.97,CASH_OUT,1156.67,373.7,7704.07,8487.04,0
570,3.06,TRANSFER,3.55,0.49,23426.97,23430.03,0
516,1111.88,CASH_OUT,1559.72,447.84,1636.24,2748.12,0
157,709.71,PAYMENT,1547.09,837.38,7728.23,7728.23,0
84,2126.59,TRANSFER,2707.7,581.11,47543.18,49669.77,0
440,1133.45,CASH_OUT,2705.81,1572.36,4197.27,5330.72,0
84,1014.65,CASH_OUT,1063.79,49.14,9839.78,10854.43,0
257,774.51,TRANSFER,1335.58,561.07,37291.85,38066.36,0
163,64.26,DEBIT,115.88,51.62,3685.26,3685.26,0
271,1276.55,CASH_IN,27161.64,28438.19,1683.12,406.57,0
657,192.18,CASH_OUT,155.15,0,4536.94,4729.12,0
562,2863.78,CASH_IN,31311.02,34174.8,3615.49,751.71,0
693,4858.11,CASH_IN,48375.56,53233.67,6660.07,1801.96,0
527,1314.72,PAYMENT,965.81,0,1251.86,1251.86,0
236,569.81,CASH_IN,27920.63,28490.44,826.84,257.03,0
726,1745.41,CASH_OUT,1811.71,66.3,7975.59,9721,0
395,8315.75,PAYMENT,6645.63,0,4645.99,4645.99,0
320,1007.86,TRANSFER,1990.22,982.36,36094.38,37102.24,0
11,2375.77,CASH_OUT,5274.79,2899.02,7798.51,10174.28,0
392,2577.78,PAYMENT,5151.24,2573.46,1459.22,1459.22,0
588,8635.37,PAYMENT,6778.69,0,4988.88,4988.88,0
86,473.33,CASH_IN,17300.83,17774.16,1207.75,734.42,0
242,791.42,TRANSFER,1201.15,409.73,4393.32,5184.74,0
589,164.68,CASH_OUT,213.07,48.39,1327.16,1491.84,0
90,2339.92,CASH_OUT,4916.58,2576.66,2001.5,4341.42,0
428,221.9,CASH_IN,31821.51,32043.41,535.43,313.53,0
9,5505.39,TRANSFER,5791.51,286.12,27064.82,32570.21,0
370,5473.96,CASH_OUT,13108.5,7634.54,6253.05,11727.01,0
84,830.37,TRANSFER,1506.98,676.61,4005.74,4836.11,0
84,1611.4,CASH_OUT,2731.25,1119.85,7838.33,9449.73,0
515,84.22,CASH_IN,8199.97,8284.19,158.1,73.88,0
12,568.65,DEBIT,465.78,0,8717.84,8717.84,0
122,799.02,CASH_OUT,1150.88,351.86,7442.79,8241.81,0
733,3119.43,PAYMENT,5669.3,2549.87,4981.96,4981.96,0
594,43.16,PAYMENT,77.97,34.81,3323.15,3323.15,0
312,7362.28,DEBIT,13256.9,5894.62,1995.42,1995.42,1
35,499.36,CASH_OUT,667.54,168.18,2035.78,2535.14,0
332,383.79,PAYMENT,929.37,545.58,4159.07,4159.07,0
24,1109.49,PAYMENT,1322.37,212.88,3710.39,3710.39,0
532,1406.77,CASH_OUT,2231.98,825.21,5139.96,6546.73,0
617,1155.7,TRANSFER,1993.88,838.18,24333.45,25489.15,0
578,1822.23,CASH_OUT,3801.01,1978.78,6550.09,8372.32,0
371,668.74,TRANSFER,908.92,240.18,19192.36,19861.1,0
530,1997.96,DEBIT,3928.44,1930.48,1315.68,1315.68,0
520,1040.43,CASH_IN,30092.77,31133.2,2356.66,1316.23,0
526,7109.35,DEBIT,6127.93,0,8543.85,8543.85,0
553,568.99,CASH_IN,43537.5,44106.49,1075.74,506.75,0
504,1733.22,PAYMENT,3163.55,1430.33,952.62,952.62,0
145,993.14,PAYMENT,2422.09,1428.95,2581.33,2581.33,0
229,19.14,PAYMENT,32.09,12.95,5987.14,5987.14,0
676,7002.22,TRANSFER,10179.75,3177.53,11802.52,18804.74,0
707,1167.88,CASH_IN,16544.47,17712.35,2216.12,1048.24,0
361,1128.35,PAYMENT,1125.45,0,6171.45,6171.45,0
513,583.12,CASH_OUT,710.53,127.41,3793.59,4376.71,0
107,2667.66,CASH_IN,33190.23,35857.89,5199.97,2532.31,0
497,2445.18,CASH_IN,22318.43,24763.61,6671.51,4226.33,0
620,1553.65,TRANSFER,1606.77,53.12,49334.65,50888.3,0
511,526.67,DEBIT,317.79,0,6400.03,6400.03,0
35,1204.69,TRANSFER,2329.72,1125.03,15807.81,17012.5,0
691,85.92,PAYMENT,68.45,0,9866.3,9866.3,0
216,2317.52,CASH_OUT,1239.32,0,3231.31,5548.83,0
185,1736.54,CASH_OUT,1751.21,14.67,5217.3,6953.84,0
428,1520.62,PAYMENT,1142.72,0,1327.15,1327.15,1
308,2440.4,CASH_OUT,2205.41,0,6734.32,9174.72,0
341,198.21,TRANSFER,331.53,133.32,22187.51,22385.72,0
517,6613.51,TRANSFER,8301.98,1688.47,33081.62,39695.13,0
119,5787.86,PAYMENT,10803.02,5015.16,4971.75,4971.75,0
145,3555.26,CASH_OUT,7925.45,4370.19,7685.19,11240.45,0
345,2340.32,CASH_IN,33825.67,36165.99,3349.82,1009.5,0
654,1002.3,DEBIT,1806.61,804.31,1065.93,1065.93,0
220,348.01,CASH_IN,30247.7,30595.71,569.42,221.41,0
161,1045.81,TRANSFER,1956.45,910.64,39119.27,40165.08,0
589,682.28,TRANSFER,756.72,74.44,32525.58,33207.86,0
102,793.12,TRANSFER,1322.6,529.48,40392.3,41185.42,0
594,4206.68,TRANSFER,5541.02,1334.34,43445.03,47651.71,0
641,257.14,DEBIT,408.59,151.45,57.59,57.59,0
655,1990.63,PAYMENT,3423.21,1432.58,5634.39,5634.39,0
